Program,Worker_Type,Scale,AvgCPU_Percent,AvgMemory_Percent,ExecutionTime_Sec
progA,cpu,2,50.38,0.00,2.93655
progA,mem,2,49.25,1.23,14.29016
progA,io,2,15.35,0.00,53.79498
progB,cpu,2,78.80,0.00,3.01489
progB,mem,2,98.44,2.46,13.43384
progB,io,2,30.21,0.00,43.28150
progA,cpu,3,53.77,0.00,3.04705
progA,mem,3,59.23,1.43,16.30358
progA,io,3,35.66,0.00,43.06020
progB,cpu,3,124.71,0.00,3.08592
progB,mem,3,142.55,3.55,16.46293
progB,io,3,92.62,0.00,39.68194
progA,cpu,4,60.92,0.00,3.76084
progA,mem,4,66.99,1.65,19.11678
progA,io,4,46.88,0.00,42.72359
progB,cpu,4,162.60,0.00,3.03157
progB,mem,4,198.35,4.96,18.95915
progB,io,4,114.99,0.00,61.22590
progA,cpu,5,72.05,0.00,3.29416
progA,mem,5,72.59,1.79,24.08646
progA,io,5,66.05,0.00,24.88836
progB,cpu,5,201.60,0.00,3.03020
progB,mem,5,254.84,6.40,23.83655
progB,io,5,133.72,0.00,43.47079
progA,cpu,6,72.72,0.00,3.80288
progA,mem,6,75.76,1.86,27.14985
progA,io,6,61.92,0.00,34.03763
progB,cpu,6,260.71,0.00,3.23455
progB,mem,6,300.00,7.49,26.48014
progB,io,6,213.16,0.00,35.64285
progA,cpu,7,78.56,0.00,3.49508
progA,mem,7,78.66,1.94,32.48640
progA,io,7,69.32,0.00,47.03863
progB,cpu,7,266.50,0.00,3.76419
progB,mem,7,350.62,8.70,33.24178
progB,io,7,304.50,0.00,45.80831
progA,cpu,8,76.27,0.00,5.00385
progA,mem,8,80.06,1.98,36.82966
progA,io,8,48.42,0.00,63.52840
progB,cpu,8,347.71,0.00,3.70299
progB,mem,8,399.09,9.73,34.57271
progB,io,8,311.65,0.00,58.51865
